Menit,Vdc,Iac,Idc,Pin,Pout,Efisiensi,SoC in A*min,"SoC, fast",SoC in Ah
0,25.5,0.68,5.0,149.60000000000002,127.5,85.22727272727272,0.0,0.0,0.0
1,25.6,0.67,5.0,147.4,128.0,86.83853459972862,5.0,1.2557450335283926,0.08333333333333333
2,25.7,0.68,5.01,149.60000000000002,128.757,86.06751336898395,10.004999999999999,2.5127458120903134,0.16674999999999998
3,25.8,0.68,5.0,149.60000000000002,129.0,86.22994652406416,15.009999999999998,3.7697465906522334,0.25016666666666665
4,25.9,0.69,5.0,151.79999999999998,129.5,85.30961791831359,20.009999999999998,5.025491624180627,0.33349999999999996
5,26.0,0.7,5.03,154.0,130.78,84.92207792207792,25.025,6.285003892809604,0.4170833333333333
6,26.0,0.7,5.02,154.0,130.51999999999998,84.75324675324674,30.049999999999997,7.547027651505639,0.5008333333333332
7,26.0,0.69,5.02,151.79999999999998,130.51999999999998,85.98155467720684,35.06999999999999,8.807795665168143,0.5844999999999999
8,26.1,0.69,5.02,151.79999999999998,131.022,86.31225296442689,40.08999999999999,10.068563678830648,0.6681666666666665
9,26.1,0.69,5.01,151.79999999999998,130.761,86.14031620553361,45.10499999999999,11.328075947459626,0.7517499999999998
10,26.1,0.69,5.01,151.79999999999998,130.761,86.14031620553361,50.11499999999999,12.586332471055076,0.8352499999999998
11,26.2,0.7,5.01,154.0,131.262,85.23506493506493,55.124999999999986,13.844588994650525,0.9187499999999997
12,26.2,0.7,5.01,154.0,131.262,85.23506493506493,60.134999999999984,15.102845518245973,1.0022499999999996
13,26.2,0.7,5.01,154.0,131.262,85.23506493506493,65.14499999999998,16.36110204184142,1.0857499999999998
14,26.3,0.7,5.01,154.0,131.763,85.5603896103896,70.15499999999999,17.619358565436873,1.1692499999999997
15,26.3,0.7,5.01,154.0,131.763,85.5603896103896,75.16499999999999,18.877615089032325,1.2527499999999998
16,26.3,0.71,5.01,156.2,131.763,84.35531370038413,80.175,20.135871612627774,1.33625
17,26.3,0.71,5.01,156.2,131.763,84.35531370038413,85.185,21.394128136223223,1.41975
18,26.4,0.71,5.01,156.2,132.26399999999998,84.67605633802816,90.19500000000001,22.652384659818676,1.5032500000000002
19,26.4,0.71,5.01,156.2,132.26399999999998,84.67605633802816,95.20500000000001,23.910641183414125,1.58675
20,26.5,0.72,5.01,158.4,132.765,83.81628787878786,100.21500000000002,25.168897707009574,1.6702500000000002
21,26.5,0.72,5.01,158.4,132.765,83.81628787878786,105.22500000000002,26.427154230605026,1.7537500000000004
22,26.6,0.72,5.02,158.4,133.53199999999998,84.30050505050504,110.24000000000002,27.686666499234004,1.8373333333333337
23,26.6,0.73,5.02,160.6,133.53199999999998,83.14570361145702,115.26000000000002,28.947434512896507,1.9210000000000003
24,26.6,0.73,5.02,160.6,133.53199999999998,83.14570361145702,120.28000000000002,30.208202526559013,2.004666666666667
25,26.7,0.73,5.03,160.6,134.30100000000002,83.62453300124534,125.30500000000002,31.47022628525505,2.088416666666667
26,26.7,0.74,5.03,162.8,134.30100000000002,82.49447174447175,130.335,32.733505788984615,2.17225
27,26.8,0.74,5.04,162.8,135.072,82.96805896805897,135.37,33.9980410377477,2.2561666666666667
28,26.8,0.75,5.04,165.0,135.072,81.86181818181818,140.41,35.26383203154432,2.3401666666666667
29,26.9,0.76,5.05,167.2,135.845,81.247009569378,145.45499999999998,36.530878770374464,2.42425
30,26.9,0.77,5.06,169.4,136.11399999999998,80.35064935064933,150.51,37.80043699927167,2.5084999999999997
31,26.9,0.75,5.05,165.0,135.845,82.33030303030303,155.565,39.06999522816888,2.59275
32,26.9,0.75,5.05,165.0,135.845,82.33030303030303,160.615,40.338297712032556,2.6769166666666666
33,27.0,0.76,5.04,167.2,136.08,81.38755980861245,165.66,41.6053444508627,2.761
34,27.0,0.76,5.04,167.2,136.08,81.38755980861245,170.7,42.871135444659316,2.8449999999999998
35,27.1,0.76,5.04,167.2,136.584,81.68899521531101,175.73999999999998,44.13692643845594,2.929
36,27.2,0.78,5.04,171.6,137.088,79.8881118881119,180.77999999999997,45.40271743225255,3.0129999999999995
37,27.2,0.8,5.05,176.0,137.35999999999999,78.04545454545455,185.82499999999996,46.6697641710827,3.0970833333333325
38,27.2,0.78,5.04,171.6,137.088,79.8881118881119,190.86999999999995,47.93681090991284,3.1811666666666656
39,27.3,0.78,5.04,171.6,137.592,80.18181818181819,195.90999999999994,49.20260190370946,3.2651666666666657
40,27.4,0.78,5.04,171.6,138.096,80.47552447552448,200.94999999999993,50.46839289750608,3.3491666666666657
41,27.4,0.78,5.03,171.6,137.822,80.31585081585082,205.98499999999993,51.73292814626917,3.433083333333332
42,27.5,0.79,5.02,173.8,138.04999999999998,79.43037974683543,211.00999999999993,52.994951904965205,3.516833333333332
43,27.5,0.8,5.0,176.0,137.5,78.125,216.01999999999992,54.253208428560654,3.600333333333332
44,27.6,0.8,4.93,176.0,136.068,77.31136363636364,220.98499999999993,55.50016324685435,3.683083333333332
45,27.6,0.77,4.82,169.4,133.032,78.53128689492326,225.85999999999993,56.724514654544535,3.764333333333332
46,27.7,0.74,4.74,162.8,131.298,80.64987714987714,230.63999999999993,57.92500690659767,3.843999999999999
47,27.7,0.72,4.66,158.4,129.082,81.4911616161616,235.33999999999992,59.10540723811436,3.922333333333332
48,27.7,0.71,4.59,156.2,127.14299999999999,81.39756722151088,239.96499999999992,60.26697139412812,3.9994166666666655
49,27.8,0.7,4.51,154.0,125.378,81.41428571428571,244.51499999999993,61.40969937463896,4.075249999999999
50,27.8,0.68,4.42,149.60000000000002,122.876,82.13636363636363,248.97999999999993,62.53107968957982,4.149666666666666
51,27.9,0.66,4.36,145.20000000000002,121.644,83.77685950413223,253.36999999999995,63.63362382901775,4.222833333333332
52,28.0,0.65,4.27,143.0,119.55999999999999,83.6083916083916,257.68499999999995,64.71733179295275,4.294749999999999
53,28.0,0.63,4.19,138.6,117.32000000000001,84.64646464646466,261.91499999999996,65.77969209131777,4.36525
54,28.0,0.61,4.1,134.2,114.79999999999998,85.54396423248882,266.05999999999995,66.82070472411282,4.434333333333332
55,28.0,0.6,3.97,132.0,111.16000000000001,84.21212121212122,270.09499999999997,67.83409096617022,4.501583333333333
56,28.1,0.57,3.87,125.39999999999999,108.74700000000001,86.72009569377992,274.015,68.81859507245649,4.566916666666667
57,28.1,0.56,3.79,123.20000000000002,106.49900000000001,86.4439935064935,277.84499999999997,69.78049576813923,4.63075
58,28.1,0.54,3.73,118.80000000000001,104.813,88.22643097643098,281.60499999999996,70.7248160333526,4.693416666666666
59,28.2,0.53,3.65,116.60000000000001,102.92999999999999,88.27615780445967,285.29499999999996,71.65155586809654,4.754916666666666
60,28.2,0.51,3.59,112.2,101.238,90.22994652406416,288.91499999999996,72.5607152723711,4.81525
61,28.3,0.51,3.52,112.2,99.616,88.7843137254902,292.46999999999997,73.45354999120978,4.874499999999999
62,28.3,0.5,3.44,110.0,97.352,88.50181818181818,295.95,74.32754853454556,4.9325
63,28.3,0.48,3.36,105.6,95.088,90.04545454545453,299.34999999999997,75.18145515734486,4.989166666666666
64,28.4,0.46,3.27,101.2,92.868,91.76679841897233,302.66499999999996,76.01401411457418,5.044416666666666
65,28.4,0.46,3.2,101.2,90.88,89.80237154150197,305.9,76.82648115126705,5.098333333333333
66,28.4,0.45,3.14,99.0,89.176,90.07676767676767,309.07,77.62262350252406,5.151166666666667
67,28.5,0.44,3.07,96.8,87.49499999999999,90.38739669421487,312.175,78.40244116834519,5.202916666666667
68,28.5,0.41,2.97,90.19999999999999,84.64500000000001,93.84146341463418,315.195,79.16091116859634,5.2532499999999995
69,28.5,0.41,2.9,90.19999999999999,82.64999999999999,91.62971175166297,318.13,79.8980335032775,5.3021666666666665
70,28.5,0.4,2.82,88.0,80.36999999999999,91.32954545454545,320.99,80.61631966245575,5.349833333333334
71,28.5,0.39,2.76,85.8,78.66,91.67832167832167,323.78000000000003,81.3170253911646,5.396333333333334
72,28.6,0.38,2.67,83.6,76.362,91.34210526315789,326.495,81.9988949443705,5.441583333333333
73,28.6,0.37,2.58,81.4,73.78800000000001,90.64864864864866,329.12,82.65816108697291,5.485333333333333
74,28.6,0.36,2.51,79.2,71.786,90.63888888888889,331.665,83.29733530903887,5.52775
75,28.6,0.34,2.47,74.80000000000001,70.64200000000001,94.44117647058825,334.15500000000003,83.92269633573602,5.56925
76,28.7,0.33,2.35,72.60000000000001,67.44500000000001,92.89944903581268,336.56500000000005,84.5279654418967,5.609416666666667
77,28.7,0.32,2.28,70.4,65.43599999999999,92.94886363636363,338.88000000000005,85.10937539242035,5.648000000000001
78,28.7,0.32,2.22,70.4,63.714000000000006,90.5028409090909,341.13000000000005,85.67446065750812,5.685500000000001
79,28.7,0.31,2.13,68.2,61.13099999999999,89.6348973607038,343.30500000000006,86.22070974709297,5.721750000000001
80,28.7,0.3,2.1,66.0,60.27,91.31818181818183,345.4200000000001,86.75188989627549,5.7570000000000014
81,28.8,0.3,2.05,66.0,59.04,89.45454545454545,347.49500000000006,87.27302408518976,5.791583333333334
82,28.8,0.29,1.99,63.8,57.312,89.8307210031348,349.51500000000004,87.78034507873524,5.8252500000000005
83,28.8,0.29,1.92,63.8,55.296,86.67084639498432,351.47,88.27134138684482,5.857833333333334
84,28.8,0.28,1.88,61.60000000000001,54.144,87.89610389610388,353.37,88.74852449958561,5.8895
85,28.9,0.28,1.82,61.60000000000001,52.598,85.38636363636363,355.22,89.21315016199112,5.920333333333334
86,28.9,0.27,1.78,59.400000000000006,51.442,86.60269360269359,357.02000000000004,89.66521837406135,5.950333333333334
87,28.9,0.27,1.72,59.400000000000006,49.708,83.68350168350167,358.77000000000004,90.10472913579629,5.979500000000001
88,28.9,0.26,1.68,57.2,48.55199999999999,84.88111888111887,360.47,90.53168244719593,6.007833333333334
89,28.9,0.25,1.64,55.0,47.395999999999994,86.17454545454545,362.13000000000005,90.94858979832738,6.035500000000001
90,28.9,0.25,1.59,55.0,45.951,83.54727272727273,363.74500000000006,91.35419544415704,6.0624166666666675
91,29.0,0.24,1.55,52.8,44.95,85.13257575757576,365.31500000000005,91.74849938468496,6.088583333333334
92,29.0,0.23,1.5,50.6,43.5,85.96837944664031,366.84000000000003,92.13150161991112,6.114000000000001
93,29.0,0.22,1.46,48.4,42.339999999999996,87.4793388429752,368.32000000000005,92.50320214983552,6.138666666666667
94,29.0,0.21,1.43,46.199999999999996,41.47,89.76190476190476,369.76500000000004,92.86611246452522,6.162750000000001
95,29.0,0.21,1.38,46.199999999999996,40.019999999999996,86.62337662337663,371.17,93.2189768189467,6.186166666666667
96,29.0,0.2,1.34,44.0,38.86,88.31818181818181,372.53000000000003,93.56053946806642,6.208833333333334
97,29.0,0.2,1.3,44.0,37.7,85.68181818181819,373.85,93.89205615691792,6.230833333333334
98,29.1,0.2,1.26,44.0,36.666000000000004,83.33181818181819,375.13,94.21352688550118,6.252166666666667
99,29.1,0.19,1.24,41.8,36.084,86.32535885167465,376.38,94.52746314388327,6.273
100,29.1,0.18,1.2,39.6,34.92,88.18181818181819,377.6,94.8338649320642,6.293333333333334
101,29.1,0.18,1.17,39.6,34.047,85.97727272727272,378.785,95.13147650501044,6.313083333333334
102,29.1,0.18,1.14,39.6,33.174,83.77272727272727,379.94,95.4215536077555,6.332333333333334
103,29.2,0.18,1.1,39.6,32.120000000000005,81.11111111111113,381.06,95.70284049526585,6.351
104,29.2,0.17,1.07,37.400000000000006,31.244,83.54010695187164,382.145,95.97533716754151,6.369083333333333
105,29.2,0.16,1.04,35.2,30.368,86.27272727272725,383.2,96.240299369616,6.386666666666667
106,29.2,0.16,1.0,35.2,29.2,82.95454545454545,384.21999999999997,96.4964713564558,6.403666666666666
107,29.2,0.15,0.98,33.0,28.616,86.71515151515152,385.21,96.74510887309441,6.420166666666666
